node_id,label,stage,support_all,precision_all_mean,precision_all_sd,recall_all_mean,recall_all_sd,f1_all_mean,f1_all_sd,support_normal,recall_normal_mean,support_fault,recall_fault_mean,worst_participant,worst_participant_recall,participant_recall_range
22,press pedal,2,99,0.98993197,0.01000069,0.98653199,0.00583182,0.98820668,0.00581775,76,1.00000000,23,0.94202899,A,0.93650794,0.06349206
23,inspect sample,2,86,0.94151360,0.04386611,0.98062016,0.01342675,0.96048728,0.02922126,76,0.97807018,10,1.00000000,M,0.93333333,0.06666667
24,put sample on table,2,103,0.87714452,0.01754437,0.78640777,0.02568691,0.82926352,0.02162517,76,0.85964912,27,0.58024691,A,0.40277778,0.54388889
25,put plier on table,2,103,0.88747965,0.03469092,0.95792880,0.01483034,0.92090448,0.01180072,76,0.95614035,27,0.96296296,M,0.83333333,0.16666667
26,take protection cover from ground,3,25,0.93487179,0.04352333,0.94666667,0.02309401,0.94065359,0.03350896,20,0.96666667,5,0.86666667,A,0.88888889,0.11111111
27,put protection cover on crimper,3,25,0.88307692,0.00266469,0.90666667,0.02309401,0.89464052,0.01267906,20,0.88333333,5,1.00000000,M,0.66666667,0.33333333
28,turn off extractor fan,3,27,0.80943345,0.04629057,0.92592593,0.03703704,0.86241842,0.01013865,21,0.93650794,6,0.88888889,A,0.83333333,0.16666667
29,turn off water pump,3,26,0.83015873,0.02870340,0.93589744,0.02220578,0.87962963,0.01957493,20,0.95000000,6,0.88888889,A,0.83333333,0.16666667
30,turn off air compressor,3,26,0.82831843,0.03106747,0.85897436,0.04441156,0.84260586,0.02284635,20,0.91666667,6,0.66666667,A,0.55555556,0.44444444
31,move pedal to original location,3,24,0.96825397,0.05498574,0.90277778,0.09622504,0.93396375,0.07752599,20,0.95000000,4,0.66666667,J,0.70833333,0.29166667
32,turn off crimper,3,27,0.80904022,0.05884742,0.87654321,0.04276669,0.84071609,0.04313660,20,0.88333333,7,0.85714286,M,0.71428571,0.28571429
33,turn off main switch,3,26,0.94919278,0.02262821,0.96153846,0.03846154,0.95524915,0.02953416,20,0.96666667,6,0.94444444,A,0.86666667,0.13333333
34,take lock from table,3,25,0.54050903,0.09013831,0.58666667,0.06110101,0.56204053,0.07492775,20,0.58333333,5,0.60000000,J,0.16666667,0.76666667
35,lock crimper,3,25,0.71075838,0.00610953,0.78666667,0.02309401,0.74673440,0.01382624,20,0.75000000,5,0.93333333,D,0.60000000,0.27500000
