sample_name,participant,source_run,status,reason,first_action_original_frame_idx,first_action_frame_name,last_action_original_frame_idx,last_action_frame_name,trim_start_original_frame_idx,trim_start_frame_name,trim_start_timestamp,trim_end_original_frame_idx,trim_end_frame_name,trim_end_timestamp,frame_annotation_original_rows,frame_annotation_keep_rows,frame_annotation_before_rows,frame_annotation_after_rows,001431512812_original_frames,001431512812_keep_frames,001431512812_before_frames,001431512812_after_frames,001484412812_original_frames,001484412812_keep_frames,001484412812_before_frames,001484412812_after_frames,001528512812_original_frames,001528512812_keep_frames,001528512812_before_frames,001528512812_after_frames,mindrove_left_original_rows,mindrove_left_keep_rows,mindrove_left_before_rows,mindrove_left_after_rows,mindrove_right_original_rows,mindrove_right_keep_rows,mindrove_right_before_rows,mindrove_right_after_rows
run_sample_000017,A,run_21,ok,,638,20260323_094304_811825.jpg,1152,20260323_094321_944856.jpg,608,20260323_094303_803178.jpg,20260323_094303_803178,1182,20260323_094322_955969.jpg,20260323_094322_955969,1326,575,607,144,1325,575,606,144,1326,575,607,144,1326,575,607,144,25500,9570,9464,6466,26000,9578,9466,6956
run_sample_000018,A,run_22,ok,,561,20260323_094530_771698.jpg,1119,20260323_094549_379222.jpg,531,20260323_094529_785163.jpg,20260323_094529_785163,1149,20260323_094550_366802.jpg,20260323_094550_366802,1273,619,530,124,1273,617,531,125,1273,619,530,124,1274,618,532,124,23000,10288,8408,4304,23500,10296,8472,4732
run_sample_000019,A,run_23,ok,,423,20260323_094746_246868.jpg,1817,20260323_094832_776804.jpg,393,20260323_094745_252992.jpg,20260323_094745_252992,1847,20260323_094833_778701.jpg,20260323_094833_778701,1954,1455,392,107,1951,1451,393,107,1954,1455,392,107,1955,1457,391,107,34000,24248,5602,4150,34000,24268,5726,4006
run_sample_000020,A,run_24,ok,,514,20260323_095026_532788.jpg,1958,20260323_095114_699319.jpg,484,20260323_095025_528887.jpg,20260323_095025_528887,1988,20260323_095115_710100.jpg,20260323_095115_710100,2183,1505,483,195,2180,1504,482,194,2183,1505,483,195,2182,1506,482,194,41000,25078,9188,6734,41500,25106,9374,7020
run_sample_000021,A,run_25,ok,,601,20260323_095528_566328.jpg,4908,20260323_095752_176484.jpg,571,20260323_095527_558335.jpg,20260323_095527_558335,4938,20260323_095753_186115.jpg,20260323_095753_186115,5072,4368,570,134,5073,4367,571,135,5072,4368,570,134,5073,4367,571,135,90500,72768,11112,6620,90500,72832,10936,6732
run_sample_000022,A,run_26,ok,,556,20260323_095945_721390.jpg,1497,20260323_100017_080649.jpg,526,20260323_095944_690724.jpg,20260323_095944_690724,1527,20260323_100018_088521.jpg,20260323_100018_088521,1634,1002,525,107,1633,1001,525,107,1634,1002,525,107,1634,1001,526,107,29000,16688,8100,4212,29000,16704,8032,4264
run_sample_000023,A,run_27,ok,,804,20260323_100149_063655.jpg,1285,20260323_100205_118611.jpg,774,20260323_100148_073412.jpg,20260323_100148_073412,1315,20260323_100206_111055.jpg,20260323_100206_111055,1444,542,773,129,1442,534,774,134,1444,542,773,129,1443,541,774,128,24000,9018,10750,4232,24382,9022,10740,4620
run_sample_000024,A,run_28,ok,,548,20260323_100317_629263.jpg,2945,20260323_100437_562526.jpg,518,20260323_100316_632503.jpg,20260323_100316_632503,2975,20260323_100438_572628.jpg,20260323_100438_572628,3155,2458,517,180,3154,2457,516,181,3155,2458,517,180,3156,2457,519,180,56500,40944,9008,6548,57000,40982,9032,6986
run_sample_000025,D,run_1,ok,,960,20260313_103629_944411.jpg,7057,20260313_103953_138037.jpg,930,20260313_103628_979970.jpg,20260313_103628_979970,7087,20260313_103954_158943.jpg,20260313_103954_158943,7243,6158,929,156,7243,6150,935,158,7243,6158,929,156,7243,6154,932,157,125500,102518,16380,6602,125500,102576,16138,6786
run_sample_000026,D,run_4,ok,,798,20260313_104736_310650.jpg,2952,20260313_104848_018892.jpg,768,20260313_104735_305557.jpg,20260313_104735_305557,2982,20260313_104849_017537.jpg,20260313_104849_017537,3097,2215,767,115,3096,2211,769,116,3097,2215,767,115,3098,2210,771,117,52500,36828,11306,4366,52485,36860,11084,4541
run_sample_000027,D,run_6,ok,,1319,20260313_110020_069169.jpg,6464,20260313_110311_631579.jpg,1289,20260313_110019_064833.jpg,20260313_110019_064833,6494,20260313_110312_618024.jpg,20260313_110312_618024,6674,5206,1288,180,6676,5204,1291,181,6674,5206,1288,180,6676,5210,1286,180,115500,86714,21890,6896,115500,86732,22000,6768
run_sample_000028,D,run_7,ok,,817,20260313_110436_349847.jpg,2680,20260313_110538_480521.jpg,787,20260313_110435_343940.jpg,20260313_110435_343940,2710,20260313_110539_489700.jpg,20260313_110539_489700,2855,1924,786,145,2856,1924,787,145,2855,1924,786,145,2857,1924,788,145,50000,32050,11936,6014,50000,32076,11602,6322
run_sample_000029,D,run_8,ok,,1139,20260313_110717_285162.jpg,2878,20260313_110815_273222.jpg,1109,20260313_110716_281819.jpg,20260313_110716_281819,2908,20260313_110816_281264.jpg,20260313_110816_281264,3058,1800,1108,150,3059,1799,1110,150,3058,1800,1108,150,3058,1799,1109,150,52500,29980,15844,6676,53000,30004,16082,6914
run_sample_000030,D,run_9,ok,,1026,20260313_110955_550531.jpg,4968,20260313_111206_989654.jpg,996,20260313_110954_557703.jpg,20260313_110954_557703,4998,20260313_111207_991626.jpg,20260313_111207_991626,5237,4003,995,239,5236,3998,998,240,5237,4003,995,239,5237,4002,998,237,85000,66668,10426,7906,85500,66728,10732,8040
