model,participant,seed,condition,grouping,group,n,node_accuracy,node_macro_f1,tier3_accuracy,tier3_macro_f1
M2-Direct-RealOrder,A,1,normal,exact_full_prefix,False,107,0.7476635514018691,0.6856527459468635,0.7476635514018691,0.6928487960840903
M2-Direct-RealOrder,A,1,normal,exact_full_prefix,True,187,0.786096256684492,0.813526297938369,0.786096256684492,0.8329315408487484
M2-Direct-RealOrder,A,1,normal,local_suffix_1,insufficient,15,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,1,normal,local_suffix_1,seen,279,0.7598566308243727,0.7588503489173642,0.7598566308243727,0.7686735781021626
M2-Direct-RealOrder,A,1,normal,local_suffix_2,insufficient,30,0.8333333333333334,0.8986568986568985,0.8333333333333334,0.8986568986568987
M2-Direct-RealOrder,A,1,normal,local_suffix_2,seen,259,0.7644787644787645,0.7623855373495779,0.7644787644787645,0.7726649198804683
M2-Direct-RealOrder,A,1,normal,local_suffix_2,unseen,5,0.8,0.7333333333333333,0.8,0.7333333333333333
M2-Direct-RealOrder,A,1,normal,local_prefix_3,insufficient,45,0.8888888888888888,0.9290598290598291,0.8888888888888888,0.929059829059829
M2-Direct-RealOrder,A,1,normal,local_prefix_3,seen,233,0.7467811158798283,0.7067481832614303,0.7467811158798283,0.7168846711075075
M2-Direct-RealOrder,A,1,normal,local_prefix_3,unseen,16,0.8125,0.7888888888888889,0.8125,0.7888888888888889
M2-Direct-RealOrder,A,1,normal,history_length,0,15,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,1,normal,history_length,1-2,30,0.8333333333333334,0.8641975308641975,0.8333333333333334,0.8641975308641975
M2-Direct-RealOrder,A,1,normal,history_length,11-20,101,0.7920792079207921,0.7681772050058496,0.7920792079207921,0.7807327141382869
M2-Direct-RealOrder,A,1,normal,history_length,21+,28,0.75,0.8666666666666666,0.75,0.8666666666666666
M2-Direct-RealOrder,A,1,normal,history_length,3-5,45,0.6444444444444445,0.6734204793028322,0.6444444444444445,0.6734204793028322
M2-Direct-RealOrder,A,1,normal,history_length,6-10,75,0.76,0.6894195531663563,0.76,0.6894195531663563
M2-Direct-RealOrder,A,1,normal,stage,1,44,0.8181818181818182,0.8632034632034632,0.8181818181818182,0.8632034632034632
M2-Direct-RealOrder,A,1,normal,stage,2,210,0.7476190476190476,0.7487733012122538,0.7476190476190476,0.7751944926030839
M2-Direct-RealOrder,A,1,normal,stage,3,40,0.85,0.8971428571428571,0.85,0.8971428571428571
M2-Direct-RealOrder,A,1,normal,active_tail,False,83,0.8554216867469879,0.8368322239289981,0.8554216867469879,0.836832223928998
M2-Direct-RealOrder,A,1,normal,active_tail,True,211,0.7393364928909952,0.7940845595678009,0.7393364928909952,0.8283504785932233
M2-Direct-RealOrder,A,1,normal,tail_reason,active_incomplete_atomic_prefix,211,0.7393364928909952,0.7940845595678009,0.7393364928909952,0.8283504785932233
M2-Direct-RealOrder,A,1,normal,tail_reason,atomic_sequence_complete,19,0.8947368421052632,0.8126984126984127,0.8947368421052632,0.8126984126984127
M2-Direct-RealOrder,A,1,normal,tail_reason,empty_history,15,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,1,normal,tail_reason,latest_node_not_atomic,49,0.7959183673469388,0.7114285714285716,0.7959183673469388,0.7114285714285715
M2-Direct-RealOrder,A,1,fault,exact_full_prefix,False,50,0.64,0.5978260869565217,0.66,0.6250398724082934
M2-Direct-RealOrder,A,1,fault,exact_full_prefix,True,87,0.6206896551724138,0.6045691439994288,0.632183908045977,0.6404135075319481
M2-Direct-RealOrder,A,1,fault,local_suffix_1,insufficient,9,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,1,fault,local_suffix_1,seen,128,0.6015625,0.5836031471412094,0.6171875,0.6068859124677538
M2-Direct-RealOrder,A,1,fault,local_suffix_2,insufficient,18,0.7777777777777778,0.8444444444444444,0.7777777777777778,0.8444444444444444
M2-Direct-RealOrder,A,1,fault,local_suffix_2,seen,113,0.6017699115044248,0.5741115196078431,0.6194690265486725,0.5977013928100884
M2-Direct-RealOrder,A,1,fault,local_suffix_2,unseen,6,0.6666666666666666,0.8222222222222223,0.6666666666666666,0.8222222222222223
M2-Direct-RealOrder,A,1,fault,local_prefix_3,insufficient,27,0.8518518518518519,0.8962962962962963,0.8518518518518519,0.8962962962962964
M2-Direct-RealOrder,A,1,fault,local_prefix_3,seen,99,0.5656565656565656,0.5533078483382743,0.5858585858585859,0.5839710144927536
M2-Direct-RealOrder,A,1,fault,local_prefix_3,unseen,11,0.6363636363636364,0.6888888888888888,0.6363636363636364,0.6888888888888888
M2-Direct-RealOrder,A,1,fault,history_length,0,9,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,1,fault,history_length,1-2,18,0.7777777777777778,0.9,0.7777777777777778,0.9
M2-Direct-RealOrder,A,1,fault,history_length,11-20,44,0.6363636363636364,0.573051948051948,0.6590909090909091,0.6003348503348502
M2-Direct-RealOrder,A,1,fault,history_length,21+,9,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.4444444444444444
M2-Direct-RealOrder,A,1,fault,history_length,3-5,27,0.37037037037037035,0.44791666666666663,0.37037037037037035,0.44791666666666663
M2-Direct-RealOrder,A,1,fault,history_length,6-10,30,0.7333333333333333,0.8082539682539682,0.7666666666666667,0.8282539682539682
M2-Direct-RealOrder,A,1,fault,stage,1,22,0.7727272727272727,0.8181818181818182,0.7727272727272727,0.8181818181818182
M2-Direct-RealOrder,A,1,fault,stage,2,98,0.5816326530612245,0.5345838335334133,0.6020408163265306,0.5848244040699283
M2-Direct-RealOrder,A,1,fault,stage,3,17,0.7058823529411765,0.7,0.7058823529411765,0.7
M2-Direct-RealOrder,A,1,fault,active_tail,False,57,0.7719298245614035,0.6835390946502058,0.7719298245614035,0.697008547008547
M2-Direct-RealOrder,A,1,fault,active_tail,True,80,0.525,0.565050635638871,0.55,0.611136080929702
M2-Direct-RealOrder,A,1,fault,tail_reason,active_incomplete_atomic_prefix,80,0.525,0.565050635638871,0.55,0.611136080929702
M2-Direct-RealOrder,A,1,fault,tail_reason,atomic_sequence_complete,8,0.875,0.8333333333333334,0.875,0.8333333333333334
M2-Direct-RealOrder,A,1,fault,tail_reason,empty_history,9,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,1,fault,tail_reason,latest_node_not_atomic,23,0.6521739130434783,0.6777777777777778,0.6521739130434783,0.6777777777777777
M2-Direct-RealOrder,A,1,fault,tail_reason,observed_atomic_nodes_not_prefix,8,0.875,0.9615384615384615,0.875,0.9615384615384615
M2-Direct-RealOrder,A,1,fault,tail_reason,repeated_node_fallback,9,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.625
M2-Direct-RealOrder,A,1,all,exact_full_prefix,False,157,0.7133757961783439,0.6615800913811295,0.7197452229299363,0.6735847794181127
M2-Direct-RealOrder,A,1,all,exact_full_prefix,True,274,0.7335766423357665,0.7224099764810576,0.7372262773722628,0.7362390603982865
M2-Direct-RealOrder,A,1,all,local_suffix_1,insufficient,24,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,1,all,local_suffix_1,seen,407,0.7100737100737101,0.7121609914007683,0.714987714987715,0.7254974897569112
M2-Direct-RealOrder,A,1,all,local_suffix_2,insufficient,48,0.8125,0.9128014842300558,0.8125,0.9128014842300557
M2-Direct-RealOrder,A,1,all,local_suffix_2,seen,372,0.7150537634408602,0.7080975548373317,0.7204301075268817,0.7209097387981923
M2-Direct-RealOrder,A,1,all,local_suffix_2,unseen,11,0.7272727272727273,0.7333333333333333,0.7272727272727273,0.7333333333333334
M2-Direct-RealOrder,A,1,all,local_prefix_3,insufficient,72,0.875,0.938961038961039,0.875,0.938961038961039
