comparison_model,participant,seed,condition,grouping,group,tier3_accuracy_delta_vs_m2,tier3_macro_f1_delta_vs_m2,node_accuracy_delta_vs_m2
A1-Legacy-Once,A,1,fault,tail_reason,repeated_node_fallback,0.11111111111111116,0.08333333333333326,0.11111111111111116
A1-Legacy-Once,A,1,normal,active_tail,False,0.03614457831325302,0.04716248506571108,0.03614457831325302
A1-Legacy-Once,A,1,normal,active_tail,True,0.06635071090047395,0.02601029550647982,0.06635071090047395
A1-Legacy-Once,A,1,normal,exact_full_prefix,False,0.05607476635514019,0.05922487098957674,0.05607476635514019
A1-Legacy-Once,A,1,normal,exact_full_prefix,True,0.05882352941176472,0.05033812434055962,0.05882352941176472
A1-Legacy-Once,A,1,normal,history_length,0,0.0,0.0,0.0
A1-Legacy-Once,A,1,normal,history_length,1-2,-0.20000000000000007,-0.14563027940220918,-0.20000000000000007
A1-Legacy-Once,A,1,normal,history_length,11-20,0.09900990099009899,0.1343782533256218,0.09900990099009899
A1-Legacy-Once,A,1,normal,history_length,21+,0.0,-0.08095238095238078,0.0
A1-Legacy-Once,A,1,normal,history_length,3-5,0.19999999999999996,0.08408469668060459,0.19999999999999996
A1-Legacy-Once,A,1,normal,history_length,6-10,0.053333333333333344,0.046044982298179216,0.053333333333333344
A1-Legacy-Once,A,1,normal,local_prefix_3,insufficient,-0.1333333333333333,-0.1371112075059443,-0.1333333333333333
A1-Legacy-Once,A,1,normal,local_prefix_3,seen,0.09442060085836912,0.060042279749463745,0.09442060085836912
A1-Legacy-Once,A,1,normal,local_prefix_3,unseen,0.0625,0.09999999999999998,0.0625
A1-Legacy-Once,A,1,normal,local_suffix_1,insufficient,0.0,0.0,0.0
A1-Legacy-Once,A,1,normal,local_suffix_1,seen,0.06093189964157708,0.04376598191478542,0.06093189964157708
A1-Legacy-Once,A,1,normal,local_suffix_2,insufficient,-0.06666666666666665,-0.030459619745334066,-0.06666666666666665
A1-Legacy-Once,A,1,normal,local_suffix_2,seen,0.07335907335907332,0.05022416824131681,0.07335907335907332
A1-Legacy-Once,A,1,normal,local_suffix_2,unseen,0.0,0.0,0.0
A1-Legacy-Once,A,1,normal,stage,1,-0.022727272727272818,-0.01298701298701288,-0.022727272727272818
A1-Legacy-Once,A,1,normal,stage,2,0.0714285714285714,0.04808210221647158,0.0714285714285714
A1-Legacy-Once,A,1,normal,stage,3,0.07500000000000007,0.05999999999999994,0.07500000000000007
A1-Legacy-Once,A,1,normal,tail_reason,active_incomplete_atomic_prefix,0.06635071090047395,0.02601029550647982,0.06635071090047395
A1-Legacy-Once,A,1,normal,tail_reason,atomic_sequence_complete,0.0,0.0,0.0
A1-Legacy-Once,A,1,normal,tail_reason,empty_history,0.0,0.0,0.0
A1-Legacy-Once,A,1,normal,tail_reason,latest_node_not_atomic,0.061224489795918324,0.12640211640211652,0.061224489795918324
A1-Legacy-Once,A,2,all,active_tail,False,0.02857142857142858,0.03144626866346323,0.0357142857142857
A1-Legacy-Once,A,2,all,active_tail,True,0.09621993127147765,0.05760655718386476,0.09621993127147765
A1-Legacy-Once,A,2,all,exact_full_prefix,False,0.07006369426751602,0.0635067053577284,0.07643312101910837
A1-Legacy-Once,A,2,all,exact_full_prefix,True,0.07664233576642332,0.028300009451768915,0.07664233576642343
A1-Legacy-Once,A,2,all,history_length,0,0.0,0.0,0.0
A1-Legacy-Once,A,2,all,history_length,1-2,0.10416666666666663,-0.08014336917562725,0.10416666666666663
A1-Legacy-Once,A,2,all,history_length,11-20,0.06896551724137934,0.055236417191487974,0.08275862068965512
A1-Legacy-Once,A,2,all,history_length,21+,0.05405405405405406,0.09393939393939399,0.027027027027027084
A1-Legacy-Once,A,2,all,history_length,3-5,0.16666666666666674,0.043753305518011376,0.16666666666666674
A1-Legacy-Once,A,2,all,history_length,6-10,0.02857142857142858,0.1411860629514302,0.02857142857142858
A1-Legacy-Once,A,2,all,local_prefix_3,insufficient,0.06944444444444442,-0.06091989889013505,0.06944444444444442
A1-Legacy-Once,A,2,all,local_prefix_3,seen,0.08433734939759041,0.03911901784027205,0.08734939759036142
A1-Legacy-Once,A,2,all,local_prefix_3,unseen,-0.03703703703703709,0.015238095238095273,-0.03703703703703709
A1-Legacy-Once,A,2,all,local_suffix_1,insufficient,0.0,0.0,0.0
A1-Legacy-Once,A,2,all,local_suffix_1,seen,0.07862407862407861,0.054066646320053535,0.08108108108108114
A1-Legacy-Once,A,2,all,local_suffix_2,insufficient,0.10416666666666663,-0.08702842698590729,0.10416666666666663
A1-Legacy-Once,A,2,all,local_suffix_2,seen,0.07258064516129026,0.040776655464688005,0.07526881720430101
A1-Legacy-Once,A,2,all,local_suffix_2,unseen,0.0,0.16190476190476188,0.0
A1-Legacy-Once,A,2,all,stage,1,-0.015151515151515138,0.0009324009324009896,-0.015151515151515138
A1-Legacy-Once,A,2,all,stage,2,0.09090909090909094,0.07637268417930265,0.0941558441558441
A1-Legacy-Once,A,2,all,stage,3,0.08771929824561397,0.04738095238095241,0.08771929824561397
A1-Legacy-Once,A,2,all,tail_reason,active_incomplete_atomic_prefix,0.09621993127147765,0.05760655718386476,0.09621993127147765
A1-Legacy-Once,A,2,all,tail_reason,atomic_sequence_complete,0.0,0.015873015873015928,0.0
A1-Legacy-Once,A,2,all,tail_reason,empty_history,0.0,0.0,0.0
A1-Legacy-Once,A,2,all,tail_reason,latest_node_not_atomic,0.05555555555555558,0.05714644832291882,0.05555555555555558
