condition,split,runs,node_accuracy,node_macro_f1,node_weakest_recall,tier3_accuracy,tier3_macro_f1
A0,test_all,12,0.9056773749882487,0.8780994295877137,0.3337301587301587,0.9063816243003866,0.8706300296704481
A0,test_normal,12,0.9125909336602858,0.8819004774356061,0.3448412698412698,0.9130076003269525,0.8743856268623436
A0,test_fault,12,0.8974735128077143,0.8633565458329105,0.075,0.8985778170598286,0.8537709503507588
A1,test_all,1,0.9443155452436195,0.9186839627703415,0.6666666666666666,0.9443155452436195,0.9089076589826778
A1,test_normal,1,0.9455782312925171,0.9137978045568178,0.5,0.9455782312925171,0.9031867026252195
A1,test_fault,1,0.9416058394160584,0.9294688644688645,0.5,0.9416058394160584,0.9215591397849463
A2,test_all,1,0.951276102088167,0.9375419594060795,0.6666666666666666,0.951276102088167,0.9298809880756174
A2,test_normal,1,0.95578231292517,0.9311896724847623,0.5,0.95578231292517,0.922876520743387
A2,test_fault,1,0.9416058394160584,0.9473364730507587,0.3333333333333333,0.9416058394160584,0.9405411792508567
A3,test_all,1,0.9095127610208816,0.8963009781059094,0.4166666666666667,0.9095127610208816,0.8873730246808155
A3,test_normal,1,0.9251700680272109,0.8994123849931891,0.5,0.9251700680272109,0.8887034277147586
A3,test_fault,1,0.8759124087591241,0.8872567432567432,0.1111111111111111,0.8759124087591241,0.8849267733980216
A4,test_all,1,0.9187935034802784,0.9055408967713224,0.4166666666666667,0.9187935034802784,0.8966184048823114
A4,test_normal,1,0.9387755102040817,0.9170640996379912,0.5,0.9387755102040817,0.9069282933357423
A4,test_fault,1,0.8759124087591241,0.8784948384948384,0.1111111111111111,0.8759124087591241,0.8750343002797422
A5,test_all,1,0.9234338747099768,0.9114879857152772,0.4166666666666667,0.9234338747099768,0.9020406487412977
A5,test_normal,1,0.935374149659864,0.915721766635083,0.5,0.935374149659864,0.907117245697542
A5,test_fault,1,0.8978102189781022,0.9024948384948385,0.1111111111111111,0.8978102189781022,0.8914435541083507
A6,test_all,1,0.9211136890951276,0.9038026838825264,0.3333333333333333,0.9211136890951276,0.8925950691210912
A6,test_normal,1,0.935374149659864,0.9153782225703407,0.5,0.935374149659864,0.9056510839603163
A6,test_fault,1,0.8905109489051095,0.8719642262499405,0.0,0.8905109489051095,0.8569735080254014
