condition,participant,seed,split,class_id,support,precision,recall,f1
A0,A,1,test_fault,23,1,1.0,1.0,1.0
A0,A,1,test_fault,24,2,1.0,1.0,1.0
A0,A,1,test_fault,25,2,0.4,1.0,0.5714285714285715
A0,A,1,test_fault,26,2,1.0,1.0,1.0
A0,A,1,test_fault,27,2,1.0,0.5,0.6666666666666666
A0,A,1,test_fault,28,2,1.0,1.0,1.0
A0,A,1,test_fault,29,2,1.0,1.0,1.0
A0,A,1,test_fault,30,2,1.0,1.0,1.0
A0,A,2,test_all,0,6,1.0,1.0,1.0
A0,A,2,test_all,1,42,0.9230769230769231,0.8571428571428571,0.888888888888889
A0,A,2,test_all,2,24,1.0,0.9583333333333334,0.9787234042553191
A0,A,2,test_all,3,17,0.8947368421052632,1.0,0.9444444444444444
A0,A,2,test_all,4,5,0.8333333333333334,1.0,0.9090909090909091
A0,A,2,test_all,5,6,1.0,1.0,1.0
A0,A,2,test_all,6,6,1.0,1.0,1.0
A0,A,2,test_all,7,45,0.9761904761904762,0.9111111111111111,0.9425287356321839
A0,A,2,test_all,8,45,0.9772727272727273,0.9555555555555556,0.9662921348314608
A0,A,2,test_all,9,6,1.0,1.0,1.0
A0,A,2,test_all,10,24,1.0,1.0,1.0
A0,A,2,test_all,11,6,0.75,1.0,0.8571428571428571
A0,A,2,test_all,12,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
A0,A,2,test_all,13,42,0.975,0.9285714285714286,0.951219512195122
A0,A,2,test_all,14,24,0.8461538461538461,0.4583333333333333,0.5945945945945945
A0,A,2,test_all,15,6,1.0,0.6666666666666666,0.8
A0,A,2,test_all,16,21,0.75,1.0,0.8571428571428571
A0,A,2,test_all,17,5,0.4,0.8,0.5333333333333333
A0,A,2,test_all,18,24,0.7096774193548387,0.9166666666666666,0.7999999999999999
A0,A,2,test_all,19,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
A0,A,2,test_all,20,6,0.75,0.5,0.6
A0,A,2,test_all,21,6,0.8571428571428571,1.0,0.923076923076923
A0,A,2,test_all,22,6,1.0,0.6666666666666666,0.8
A0,A,2,test_all,23,5,1.0,1.0,1.0
A0,A,2,test_all,24,6,0.8,0.6666666666666666,0.7272727272727272
A0,A,2,test_all,25,6,0.5555555555555556,0.8333333333333334,0.6666666666666667
A0,A,2,test_all,26,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
A0,A,2,test_all,27,6,0.7142857142857143,0.8333333333333334,0.7692307692307692
A0,A,2,test_all,28,6,1.0,1.0,1.0
A0,A,2,test_all,29,6,0.7142857142857143,0.8333333333333334,0.7692307692307692
A0,A,2,test_all,30,6,1.0,0.6666666666666666,0.8
A0,A,2,test_normal,0,4,1.0,1.0,1.0
A0,A,2,test_normal,1,30,0.9333333333333333,0.9333333333333333,0.9333333333333333
A0,A,2,test_normal,2,15,1.0,0.9333333333333333,0.9655172413793104
A0,A,2,test_normal,3,15,1.0,1.0,1.0
A0,A,2,test_normal,4,4,0.8,1.0,0.888888888888889
A0,A,2,test_normal,5,4,1.0,1.0,1.0
A0,A,2,test_normal,6,4,1.0,1.0,1.0
A0,A,2,test_normal,7,30,1.0,0.9666666666666667,0.983050847457627
A0,A,2,test_normal,8,30,1.0,1.0,1.0
A0,A,2,test_normal,9,4,1.0,1.0,1.0
A0,A,2,test_normal,10,15,1.0,1.0,1.0
A0,A,2,test_normal,11,4,0.8,1.0,0.888888888888889
A0,A,2,test_normal,12,4,1.0,0.75,0.8571428571428571
A0,A,2,test_normal,13,30,1.0,0.9333333333333333,0.9655172413793104
A0,A,2,test_normal,14,15,0.9166666666666666,0.7333333333333333,0.8148148148148148
A0,A,2,test_normal,15,4,1.0,0.75,0.8571428571428571
A0,A,2,test_normal,16,15,0.8333333333333334,1.0,0.9090909090909091
A0,A,2,test_normal,17,4,0.6,0.75,0.6666666666666665
A0,A,2,test_normal,18,15,0.7777777777777778,0.9333333333333333,0.8484848484848485
A0,A,2,test_normal,19,4,0.8,1.0,0.888888888888889
A0,A,2,test_normal,20,4,0.6666666666666666,0.5,0.5714285714285715
A0,A,2,test_normal,21,4,0.8,1.0,0.888888888888889
A0,A,2,test_normal,22,4,1.0,0.75,0.8571428571428571
A0,A,2,test_normal,23,4,1.0,1.0,1.0
A0,A,2,test_normal,24,4,0.75,0.75,0.75
