condition,participant,seed,label_space,rank,true_id,pred_id,count
S7,A,1,node,11,25,12,5
S7,A,1,node,12,7,8,4
S7,A,1,tier3,1,14,18,16
S7,A,1,tier3,2,2,1,12
S7,A,1,tier3,3,10,17,11
S7,A,1,tier3,4,18,17,7
S7,A,1,tier3,5,0,26,5
S7,A,1,tier3,6,10,18,5
S7,A,1,tier3,7,13,1,5
S7,A,1,tier3,8,29,27,4
S7,A,1,tier3,9,27,22,3
S7,A,1,tier3,10,7,8,3
S7,A,1,tier3,11,13,10,3
S7,A,1,tier3,12,10,9,3
S8,A,1,node,1,14,21,18
S8,A,1,node,2,24,12,14
S8,A,1,node,3,15,22,12
S8,A,1,node,4,12,34,7
S8,A,1,node,5,31,26,6
S8,A,1,node,6,13,20,6
S8,A,1,node,7,20,26,6
S8,A,1,node,8,28,8,5
S8,A,1,node,9,25,34,4
S8,A,1,node,10,19,25,4
S8,A,1,node,11,13,26,4
S8,A,1,node,12,19,16,4
S8,A,1,tier3,1,14,18,14
S8,A,1,tier3,2,18,17,7
S8,A,1,tier3,3,5,19,6
S8,A,1,tier3,4,2,1,6
S8,A,1,tier3,5,1,19,6
S8,A,1,tier3,6,22,27,5
S8,A,1,tier3,7,8,7,5
S8,A,1,tier3,8,10,17,4
S8,A,1,tier3,9,13,10,4
S8,A,1,tier3,10,2,19,4
S8,A,1,tier3,11,13,18,4
S8,A,1,tier3,12,2,17,3
S9,A,1,tier3,1,8,15,27
S9,A,1,tier3,2,7,15,16
S9,A,1,tier3,3,13,9,15
S9,A,1,tier3,4,1,15,13
S9,A,1,tier3,5,18,9,12
S9,A,1,tier3,6,8,3,12
S9,A,1,tier3,7,7,16,12
S9,A,1,tier3,8,2,16,11
S9,A,1,tier3,9,1,16,10
S9,A,1,tier3,10,3,15,9
S9,A,1,tier3,11,14,16,7
S9,A,1,tier3,12,14,10,7
S10,A,1,tier3,1,7,16,12
S10,A,1,tier3,2,14,28,11
S10,A,1,tier3,3,18,17,11
S10,A,1,tier3,4,8,7,10
S10,A,1,tier3,5,13,17,10
S10,A,1,tier3,6,1,16,8
S10,A,1,tier3,7,8,3,8
S10,A,1,tier3,8,7,1,7
S10,A,1,tier3,9,7,18,7
S10,A,1,tier3,10,3,15,6
S10,A,1,tier3,11,2,1,6
S10,A,1,tier3,12,13,9,5
S11,A,1,tier3,1,10,9,10
S11,A,1,tier3,2,14,18,10
S11,A,1,tier3,3,2,1,8
S11,A,1,tier3,4,13,10,5
S11,A,1,tier3,5,10,17,5
S11,A,1,tier3,6,18,17,5
S11,A,1,tier3,7,14,2,4
S11,A,1,tier3,8,13,15,4
S11,A,1,tier3,9,29,27,3
S11,A,1,tier3,10,0,9,3
S11,A,1,tier3,11,2,15,3
S11,A,1,tier3,12,14,10,2
S12,A,1,tier3,1,14,18,18
S12,A,1,tier3,2,10,18,17
S12,A,1,tier3,3,2,5,10
S12,A,1,tier3,4,13,18,10
S12,A,1,tier3,5,0,26,6
S12,A,1,tier3,6,22,27,6
S12,A,1,tier3,7,13,15,5
S12,A,1,tier3,8,24,27,4
S12,A,1,tier3,9,8,7,4
S12,A,1,tier3,10,4,30,3
S12,A,1,tier3,11,28,18,3
S12,A,1,tier3,12,19,5,2
