condition,participant,seed,split,class_id,support,precision,recall,f1
S1,A,1,test_normal,33,4,0.0,0.0,0.0
S1,A,1,test_normal,34,4,0.0,0.0,0.0
S1,A,1,test_fault,0,2,0.0,0.0,0.0
S1,A,1,test_fault,1,2,0.0,0.0,0.0
S1,A,1,test_fault,2,2,0.07142857142857142,0.5,0.125
S1,A,1,test_fault,3,2,0.0,0.0,0.0
S1,A,1,test_fault,4,2,0.0,0.0,0.0
S1,A,1,test_fault,5,2,0.0,0.0,0.0
S1,A,1,test_fault,6,2,0.0,0.0,0.0
S1,A,1,test_fault,7,2,0.0,0.0,0.0
S1,A,1,test_fault,8,2,0.0,0.0,0.0
S1,A,1,test_fault,9,2,0.09523809523809523,1.0,0.17391304347826084
S1,A,1,test_fault,10,2,1.0,1.0,1.0
S1,A,1,test_fault,11,9,0.125,0.1111111111111111,0.11764705882352941
S1,A,1,test_fault,12,9,0.6666666666666666,0.2222222222222222,0.3333333333333333
S1,A,1,test_fault,13,9,0.0,0.0,0.0
S1,A,1,test_fault,14,9,0.0,0.0,0.0
S1,A,1,test_fault,15,6,0.0,0.0,0.0
S1,A,1,test_fault,16,6,1.0,0.5,0.6666666666666666
S1,A,1,test_fault,17,6,0.5555555555555556,0.8333333333333334,0.6666666666666667
S1,A,1,test_fault,18,6,1.0,0.6666666666666666,0.8
S1,A,1,test_fault,19,6,0.4,0.3333333333333333,0.3636363636363636
S1,A,1,test_fault,20,6,0.0,0.0,0.0
S1,A,1,test_fault,21,6,0.0,0.0,0.0
S1,A,1,test_fault,22,2,0.14285714285714285,0.5,0.22222222222222224
S1,A,1,test_fault,23,9,0.0,0.0,0.0
S1,A,1,test_fault,24,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
S1,A,1,test_fault,25,2,0.3333333333333333,0.5,0.4
S1,A,1,test_fault,26,2,0.0,0.0,0.0
S1,A,1,test_fault,27,2,0.0,0.0,0.0
S1,A,1,test_fault,28,2,0.0,0.0,0.0
S1,A,1,test_fault,29,2,0.0,0.0,0.0
S1,A,1,test_fault,30,2,0.5,1.0,0.6666666666666666
S1,A,1,test_fault,31,2,0.0,0.0,0.0
S1,A,1,test_fault,32,1,1.0,1.0,1.0
S1,A,1,test_fault,33,1,0.0,0.0,0.0
S1,A,1,test_fault,34,1,0.0,0.0,0.0
S2,A,1,test_all,0,6,0.16666666666666666,0.16666666666666666,0.16666666666666666
S2,A,1,test_all,1,6,0.13043478260869565,0.5,0.20689655172413793
S2,A,1,test_all,2,6,0.16666666666666666,0.5,0.25
S2,A,1,test_all,3,6,0.6666666666666666,0.3333333333333333,0.4444444444444444
S2,A,1,test_all,4,6,0.0,0.0,0.0
S2,A,1,test_all,5,6,0.2,0.16666666666666666,0.1818181818181818
S2,A,1,test_all,6,6,0.6666666666666666,1.0,0.8
S2,A,1,test_all,7,6,1.0,0.3333333333333333,0.5
S2,A,1,test_all,8,6,0.3333333333333333,0.8333333333333334,0.47619047619047616
S2,A,1,test_all,9,6,0.125,0.5,0.2
S2,A,1,test_all,10,6,0.5555555555555556,0.8333333333333334,0.6666666666666667
S2,A,1,test_all,11,24,0.5416666666666666,0.5416666666666666,0.5416666666666666
S2,A,1,test_all,12,24,0.5172413793103449,0.625,0.5660377358490567
S2,A,1,test_all,13,24,0.5625,0.375,0.45
S2,A,1,test_all,14,24,0.7647058823529411,0.5416666666666666,0.6341463414634146
S2,A,1,test_all,15,21,0.0,0.0,0.0
S2,A,1,test_all,16,21,0.9166666666666666,0.5238095238095238,0.6666666666666667
S2,A,1,test_all,17,21,0.7368421052631579,0.6666666666666666,0.7
S2,A,1,test_all,18,21,0.7058823529411765,0.5714285714285714,0.6315789473684211
S2,A,1,test_all,19,21,0.9375,0.7142857142857143,0.8108108108108109
S2,A,1,test_all,20,21,0.8333333333333334,0.23809523809523808,0.37037037037037035
S2,A,1,test_all,21,21,0.9333333333333333,0.6666666666666666,0.7777777777777778
S2,A,1,test_all,22,17,0.5555555555555556,0.5882352941176471,0.5714285714285715
S2,A,1,test_all,23,24,0.42857142857142855,0.125,0.19354838709677416
S2,A,1,test_all,24,24,0.6296296296296297,0.7083333333333334,0.6666666666666667
S2,A,1,test_all,25,6,0.36363636363636365,0.6666666666666666,0.4705882352941177
S2,A,1,test_all,26,6,1.0,1.0,1.0
S2,A,1,test_all,27,6,0.0,0.0,0.0
S2,A,1,test_all,28,6,0.625,0.8333333333333334,0.7142857142857143
S2,A,1,test_all,29,6,0.7142857142857143,0.8333333333333334,0.7692307692307692
S2,A,1,test_all,30,6,0.5555555555555556,0.8333333333333334,0.6666666666666667
S2,A,1,test_all,31,6,1.0,1.0,1.0
S2,A,1,test_all,32,5,0.26666666666666666,0.8,0.4
S2,A,1,test_all,33,5,0.09523809523809523,0.4,0.15384615384615385
S2,A,1,test_all,34,5,0.0,0.0,0.0
S2,A,1,test_normal,0,4,0.25,0.25,0.25
S2,A,1,test_normal,1,4,0.18181818181818182,0.5,0.26666666666666666
S2,A,1,test_normal,2,4,0.16666666666666666,0.5,0.25
S2,A,1,test_normal,3,4,0.6666666666666666,0.5,0.5714285714285715
S2,A,1,test_normal,4,4,0.0,0.0,0.0
S2,A,1,test_normal,5,4,0.0,0.0,0.0
S2,A,1,test_normal,6,4,0.6666666666666666,1.0,0.8
S2,A,1,test_normal,7,4,1.0,0.25,0.4
S2,A,1,test_normal,8,4,0.3333333333333333,0.75,0.46153846153846156
S2,A,1,test_normal,9,4,0.1,0.5,0.16666666666666669
S2,A,1,test_normal,10,4,0.42857142857142855,0.75,0.5454545454545454
S2,A,1,test_normal,11,15,0.6363636363636364,0.4666666666666667,0.5384615384615385
S2,A,1,test_normal,12,15,0.5882352941176471,0.6666666666666666,0.625
S2,A,1,test_normal,13,15,0.7142857142857143,0.3333333333333333,0.4545454545454545
S2,A,1,test_normal,14,15,0.8461538461538461,0.7333333333333333,0.7857142857142856
S2,A,1,test_normal,15,15,0.0,0.0,0.0
S2,A,1,test_normal,16,15,0.9090909090909091,0.6666666666666666,0.7692307692307692
S2,A,1,test_normal,17,15,0.6428571428571429,0.6,0.6206896551724138
S2,A,1,test_normal,18,15,0.6428571428571429,0.6,0.6206896551724138
S2,A,1,test_normal,19,15,1.0,0.7333333333333333,0.846153846153846
S2,A,1,test_normal,20,15,0.8333333333333334,0.3333333333333333,0.47619047619047616
S2,A,1,test_normal,21,15,0.9090909090909091,0.6666666666666666,0.7692307692307692
S2,A,1,test_normal,22,15,0.7272727272727273,0.5333333333333333,0.6153846153846153
S2,A,1,test_normal,23,15,0.4,0.13333333333333333,0.2
S2,A,1,test_normal,24,15,0.6190476190476191,0.8666666666666667,0.7222222222222222
S2,A,1,test_normal,25,4,0.375,0.75,0.5
S2,A,1,test_normal,26,4,1.0,1.0,1.0
S2,A,1,test_normal,27,4,0.0,0.0,0.0
S2,A,1,test_normal,28,4,0.6666666666666666,1.0,0.8
S2,A,1,test_normal,29,4,0.6,0.75,0.6666666666666665
S2,A,1,test_normal,30,4,0.5,0.75,0.6
S2,A,1,test_normal,31,4,1.0,1.0,1.0
S2,A,1,test_normal,32,4,0.23076923076923078,0.75,0.3529411764705882
S2,A,1,test_normal,33,4,0.15384615384615385,0.5,0.23529411764705882
S2,A,1,test_normal,34,4,0.0,0.0,0.0
S2,A,1,test_fault,0,2,0.0,0.0,0.0
S2,A,1,test_fault,1,2,0.08333333333333333,0.5,0.14285714285714285
S2,A,1,test_fault,2,2,0.16666666666666666,0.5,0.25
S2,A,1,test_fault,3,2,0.0,0.0,0.0
S2,A,1,test_fault,4,2,0.0,0.0,0.0
S2,A,1,test_fault,5,2,0.3333333333333333,0.5,0.4
S2,A,1,test_fault,6,2,0.6666666666666666,1.0,0.8
S2,A,1,test_fault,7,2,1.0,0.5,0.6666666666666666
S2,A,1,test_fault,8,2,0.3333333333333333,1.0,0.5
S2,A,1,test_fault,9,2,0.25,0.5,0.3333333333333333
S2,A,1,test_fault,10,2,1.0,1.0,1.0
S2,A,1,test_fault,11,9,0.46153846153846156,0.6666666666666666,0.5454545454545455
S2,A,1,test_fault,12,9,0.4166666666666667,0.5555555555555556,0.4761904761904762
S2,A,1,test_fault,13,9,0.4444444444444444,0.4444444444444444,0.4444444444444444
S2,A,1,test_fault,14,9,0.5,0.2222222222222222,0.30769230769230765
S2,A,1,test_fault,15,6,0.0,0.0,0.0
S2,A,1,test_fault,16,6,1.0,0.16666666666666666,0.2857142857142857
S2,A,1,test_fault,17,6,1.0,0.8333333333333334,0.9090909090909091
S2,A,1,test_fault,18,6,1.0,0.5,0.6666666666666666
S2,A,1,test_fault,19,6,0.8,0.6666666666666666,0.7272727272727272
S2,A,1,test_fault,20,6,0.0,0.0,0.0
S2,A,1,test_fault,21,6,1.0,0.6666666666666666,0.8
S2,A,1,test_fault,22,2,0.2857142857142857,1.0,0.4444444444444445
S2,A,1,test_fault,23,9,0.5,0.1111111111111111,0.1818181818181818
S2,A,1,test_fault,24,9,0.6666666666666666,0.4444444444444444,0.5333333333333333
S2,A,1,test_fault,25,2,0.3333333333333333,0.5,0.4
S2,A,1,test_fault,26,2,1.0,1.0,1.0
S2,A,1,test_fault,27,2,0.0,0.0,0.0
S2,A,1,test_fault,28,2,0.5,0.5,0.5
S2,A,1,test_fault,29,2,1.0,1.0,1.0
S2,A,1,test_fault,30,2,0.6666666666666666,1.0,0.8
S2,A,1,test_fault,31,2,1.0,1.0,1.0
S2,A,1,test_fault,32,1,0.5,1.0,0.6666666666666666
S2,A,1,test_fault,33,1,0.0,0.0,0.0
S2,A,1,test_fault,34,1,0.0,0.0,0.0
S3,A,1,test_all,0,6,1.0,0.8333333333333334,0.9090909090909091
